Fecha y hora;Fecha;Hora;Hora Entera;Departamento;Localidad;Jurisdiccion ;Tipo de Siniestro;Vehiculo;Rol;Edad;Sexo;Fallecido a los Dias;Otro vehiculo;Lugar del Siniestro;X;Y
05/03/2013 18:30;05/03/2013;18:30:00;18:00;CANELONES;N/C;NACIONAL;CA÷DA;MOTO;CONDUCTOR;35;M;0;N/C;RUTA 7 km. 55,800;605529,94;6178746,22
06/03/2013 12:55;06/03/2013;12:55:00;12:00;CANELONES;EL PINAR;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;PASAJERO;8;F;2;CAMIONETA;DIECIOCHO DE JULIO esq. MADRID;597852,95;6149312,74
06/03/2013 20:50;06/03/2013;20:50:00;20:00;CERRO LARGO;N/C;NACIONAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;25;M;0;CAMIONETA;RUTA 8 km. 413;767057,95;6428592,38
07/03/2013 18:05;07/03/2013;18:05:00;18:00;RIVERA;RIVERA;DEPARTAMENTAL;COLISI‡N CON OBSTµCULO EN CALZADA;MOTO;CONDUCTOR;19;M;0;N/C;CHASQUE DE LOS SANTOS esq. DIONISIO ORIBE;637553,8;6582166,4
08/03/2013 6:45;08/03/2013;6:45:00;6:00;SAN JOSE;N/C;NACIONAL;DESPISTE;AUTO;CONDUCTOR;42;M;0;N/C;RUTA 1 km. 73,800;517454,83;6180402,89
08/03/2013 10:00;08/03/2013;10:00:00;10:00;CANELONES;CANELONES;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;PASAJERO;10;F;0;AUTO;RUTA 64 esq. BALTASAR BRUM;565729,94;6178892,68
09/03/2013 4:55;09/03/2013;4:55:00;4:00;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;34;M;0;MOTO;PRIMERA AL NORTE esq. CAMINO CIBILS;566603,76;6143247,86
10/03/2013 1:50;10/03/2013;1:50:00;1:00;RIO NEGRO;N/C;NACIONAL;CA÷DA;MOTO;CONDUCTOR;47;M;1;N/C;RUTA 25 km. 44;461980,08;6408368,34
10/03/2013 6:00;10/03/2013;6:00:00;6:00;CANELONES;N/C;NACIONAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;52;M;0;AUTO;RUTA 64 km. 3,800;565402,61;6178698,14
13/03/2013 17:00;13/03/2013;17:00:00;17:00;ARTIGAS;N/C;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;CAMIONETA;PASAJERO;31;F;0;CAMIONETA;CAMINO VECINAL A TRES CERROS a 8 Km de RUTA 4;546170,49;6623931,43
